216, ErrorWindows, NOMNAMM, 3.0, 215, 
216, ErrorWindows, NOM, 3.0, 215, 
216, ErrorWindows, LOC, 74.0, 215, 
216, ErrorWindows, WMC, 3.0, 215, 
216, ErrorWindows, NOA, 3.0, 215, 
216, ErrorWindows, WMCNAMM, 3.0, 215, 
216, ErrorWindows, AMW, 1.0, 215, 
216, ErrorWindows, LOCNAMM, 74.0, 215, 
216, ErrorWindows, NOAM, 0.0, 215, 
216, ErrorWindows, ATFD, 0.0, 215, 
216, ErrorWindows, DIT, 1.0, 215, 
216, ErrorWindows, NOC, 0.0, 215, 
216, ErrorWindows, CBO, 0.0, 215, 
216, ErrorWindows, FANOUT, 2.0, 215, 
216, ErrorWindows, NMO, 0.0, 215, 
216, ErrorWindows, WOC, 1.0, 215, 
216, ErrorWindows, NOII, 0.0, 215, 
216, ErrorWindows, RFC, 5.0, 215, 
216, ErrorWindows, CFNAMM, 12.0, 215, 
216, ErrorWindows, LCOM5, 1.0, 215, 
216, ErrorWindows, NOPA, 0.0, 215, 
216, ErrorWindows, TCC, 1.0, 215, 
216, ErrorWindows, AMWNAMM, 1.0, 215, 
216, ErrorWindows, NIM, 0.0, 215, 
216, ErrorWindows, NOCS, 2.0, 215, 
220, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$1, NOMNAMM, 1.0, 215, 
220, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$1, NOM, 1.0, 215, 
220, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$1, LOC, 10.0, 215, 
220, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$1, WMC, 2.0, 215, 
220, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$1, NOA, 0.0, 215, 
220, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$1, WMCNAMM, 2.0, 215, 
220, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$1, AMW, 2.0, 215, 
220, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$1, LOCNAMM, 10.0, 215, 
220, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$1, NOAM, 0.0, 215, 
220, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$1, ATFD, 1.0, 215, 
220, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$1, DIT, 1.0, 215, 
220, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$1, CBO, 1.0, 215, 
220, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$1, FANOUT, 1.0, 215, 
220, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$1, NMO, 0.0, 215, 
220, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$1, NOII, 1.0, 215, 
220, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$1, RFC, 2.0, 215, 
220, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$1, CFNAMM, 4.0, 215, 
220, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$1, LCOM5, 0.0, 215, 
220, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$1, NOPA, 0.0, 215, 
220, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$1, TCC, 1.0, 215, 
220, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$1, AMWNAMM, 2.0, 215, 
220, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$1, NIM, 0.0, 215, 
220, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$1, NOCS, 0.0, 215, 
223, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$2, NOMNAMM, 1.0, 215, 
223, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$2, NOM, 1.0, 215, 
223, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$2, LOC, 5.0, 215, 
223, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$2, WMC, 1.0, 215, 
223, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$2, NOA, 0.0, 215, 
223, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$2, WMCNAMM, 1.0, 215, 
223, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$2, AMW, 1.0, 215, 
223, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$2, LOCNAMM, 5.0, 215, 
223, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$2, NOAM, 0.0, 215, 
223, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$2, ATFD, 1.0, 215, 
223, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$2, DIT, 1.0, 215, 
223, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$2, CBO, 1.0, 215, 
223, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$2, FANOUT, 0.0, 215, 
223, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$2, NMO, 0.0, 215, 
223, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$2, NOII, 1.0, 215, 
223, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$2, RFC, 1.0, 215, 
223, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$2, CFNAMM, 0.0, 215, 
223, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$2, LCOM5, 0.0, 215, 
223, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$2, NOPA, 0.0, 215, 
223, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$2, TCC, 1.0, 215, 
223, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$2, AMWNAMM, 1.0, 215, 
223, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$2, NIM, 0.0, 215, 
223, it.unimib.disco.essere.WekaNose.gui.ErrorWindows$2, NOCS, 0.0, 215, 
226, HomePage, NOMNAMM, 4.0, 215, 
226, HomePage, NOM, 4.0, 215, 
226, HomePage, LOC, 89.0, 215, 
226, HomePage, WMC, 5.0, 215, 
226, HomePage, NOA, 1.0, 215, 
226, HomePage, WMCNAMM, 5.0, 215, 
226, HomePage, AMW, 1.25, 215, 
226, HomePage, LOCNAMM, 89.0, 215, 
226, HomePage, NOAM, 0.0, 215, 
226, HomePage, ATFD, 0.0, 215, 
226, HomePage, DIT, 1.0, 215, 
226, HomePage, NOC, 0.0, 215, 
226, HomePage, CBO, 0.0, 215, 
226, HomePage, FANOUT, 4.0, 215, 
226, HomePage, NMO, 0.0, 215, 
226, HomePage, WOC, 1.0, 215, 
226, HomePage, NOII, 0.0, 215, 
226, HomePage, RFC, 8.0, 215, 
226, HomePage, CFNAMM, 26.0, 215, 
226, HomePage, LCOM5, 1.0, 215, 
226, HomePage, NOPA, 0.0, 215, 
226, HomePage, TCC, 0.0, 215, 
226, HomePage, AMWNAMM, 1.25, 215, 
226, HomePage, NIM, 0.0, 215, 
226, HomePage, NOCS, 4.0, 215, 
231, it.unimib.disco.essere.WekaNose.gui.HomePage$1, NOMNAMM, 1.0, 215, 
231, it.unimib.disco.essere.WekaNose.gui.HomePage$1, NOM, 1.0, 215, 
231, it.unimib.disco.essere.WekaNose.gui.HomePage$1, LOC, 5.0, 215, 
231, it.unimib.disco.essere.WekaNose.gui.HomePage$1, WMC, 1.0, 215, 
231, it.unimib.disco.essere.WekaNose.gui.HomePage$1, NOA, 0.0, 215, 
231, it.unimib.disco.essere.WekaNose.gui.HomePage$1, WMCNAMM, 1.0, 215, 
231, it.unimib.disco.essere.WekaNose.gui.HomePage$1, AMW, 1.0, 215, 
231, it.unimib.disco.essere.WekaNose.gui.HomePage$1, LOCNAMM, 5.0, 215, 
231, it.unimib.disco.essere.WekaNose.gui.HomePage$1, NOAM, 0.0, 215, 
231, it.unimib.disco.essere.WekaNose.gui.HomePage$1, ATFD, 0.0, 215, 
231, it.unimib.disco.essere.WekaNose.gui.HomePage$1, DIT, 1.0, 215, 
231, it.unimib.disco.essere.WekaNose.gui.HomePage$1, CBO, 1.0, 215, 
